These results were downloaded and refreshed on June      25, 2025 at 0:00 a.m. ET. / Ces résultats ont été téléchargés et rafraichis le 25 juin 2025 à 0h HE.													
Electoral district number - Numéro de la circonscription	Electoral district name	Nom de la circonscription	Type of results*	Type de résultats**	Surname - Nom de famille	Middle name(s) - Autre(s) prénom(s)	Given name - Prénom	Political affiliation	Appartenance politique	Votes obtained - Votes obtenus	% Votes obtained - Votes obtenus %	Rejected ballots - Bulletins rejetés***	Total number of ballots cast - Nombre total de votes déposés
10006	St. John's East	St. John's-Est	validated	validés	Crête		Samuel	Communist	Communiste	98	.2	440	46491
10006	St. John's East	St. John's-Est	validated	validés	Shortall		Mary	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	5172	11.2	440	46491
10006	St. John's East	St. John's-Est	validated	validés	Thompson		Joanne	Liberal	Libéral	28681	62.3	440	46491
10007	Terra Nova--The Peninsulas	Terra Nova--Les Péninsules	judicially certified	dépouillement judiciaire	Germain		Anthony	Liberal	Libéral	19593	47.9	819	41694
10007	Terra Nova--The Peninsulas	Terra Nova--Les Péninsules	judicially certified	dépouillement judiciaire	Rowe		Jonathan	Conservative	Conservateur	19605	48	819	41694
10007	Terra Nova--The Peninsulas	Terra Nova--Les Péninsules	judicially certified	dépouillement judiciaire	Ryan		Liam	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1677	4.1	819	41694
10007	Terra Nova--The Peninsulas	Terra Nova--Les Péninsules	preliminary	préliminaires	Germain		Anthony	Liberal	Libéral	19704	48	0	41073
10007	Terra Nova--The Peninsulas	Terra Nova--Les Péninsules	preliminary	préliminaires	Rowe		Jonathan	Conservative	Conservateur	19692	47.9	0	41073
10007	Terra Nova--The Peninsulas	Terra Nova--Les Péninsules	preliminary	préliminaires	Ryan		Liam	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1677	4.1	0	41073
10007	Terra Nova--The Peninsulas	Terra Nova--Les Péninsules	validated	validés	Germain		Anthony	Liberal	Libéral	19704	48	597	41670
10007	Terra Nova--The Peninsulas	Terra Nova--Les Péninsules	validated	validés	Rowe		Jonathan	Conservative	Conservateur	19692	47.9	597	41670
10007	Terra Nova--The Peninsulas	Terra Nova--Les Péninsules	validated	validés	Ryan		Liam	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1677	4.1	597	41670
11001	Cardigan	Cardigan	preliminary	préliminaires	Aylward		James	Conservative	Conservateur	9448	37.4	0	25277
11001	Cardigan	Cardigan	preliminary	préliminaires	Harding		Adam	People's Party - PPC	Parti populaire - PPC	180	.7	0	25277
11001	Cardigan	Cardigan	preliminary	préliminaires	MacDonald		Kent	Liberal	Libéral	14414	57	0	25277
11001	Cardigan	Cardigan	preliminary	préliminaires	Phelan		Wayne	Independent	Indépendant(e)	404	1.6	0	25277
11001	Cardigan	Cardigan	preliminary	préliminaires	Rodriguez		Maria	Green Party	Parti Vert	326	1.3	0	25277
11001	Cardigan	Cardigan	preliminary	préliminaires	Thiele		Lynne	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	505	2	0	25277
11001	Cardigan	Cardigan	validated	validés	Aylward		James	Conservative	Conservateur	9442	37.4	233	25494
11001	Cardigan	Cardigan	validated	validés	Harding		Adam	People's Party - PPC	Parti populaire - PPC	180	.7	233	25494
11001	Cardigan	Cardigan	validated	validés	MacDonald		Kent	Liberal	Libéral	14404	57	233	25494
11001	Cardigan	Cardigan	validated	validés	Phelan		Wayne	Independent	Indépendant(e)	404	1.6	233	25494
11001	Cardigan	Cardigan	validated	validés	Rodriguez		Maria	Green Party	Parti Vert	326	1.3	233	25494
11001	Cardigan	Cardigan	validated	validés	Thiele		Lynne	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	505	2	233	25494
11002	Charlottetown	Charlottetown	preliminary	préliminaires	Byrne		Joe	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	886	4.2	0	20878
11002	Charlottetown	Charlottetown	preliminary	préliminaires	Casey		Sean	Liberal	Libéral	13535	64.8	0	20878
11002	Charlottetown	Charlottetown	preliminary	préliminaires	Cousins		Daniel	Green Party	Parti Vert	245	1.2	0	20878
11002	Charlottetown	Charlottetown	preliminary	préliminaires	Jameson		Natalie	Conservative	Conservateur	6085	29.1	0	20878
11002	Charlottetown	Charlottetown	preliminary	préliminaires	Lucas		Robert	People's Party - PPC	Parti populaire - PPC	127	.6	0	20878
11002	Charlottetown	Charlottetown	validated	validés	Byrne		Joe	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	906	4.3	214	21303
11002	Charlottetown	Charlottetown	validated	validés	Casey		Sean	Liberal	Libéral	13656	64.8	214	21303
11002	Charlottetown	Charlottetown	validated	validés	Cousins		Daniel	Green Party	Parti Vert	257	1.2	214	21303
11002	Charlottetown	Charlottetown	validated	validés	Jameson		Natalie	Conservative	Conservateur	6139	29.1	214	21303
11002	Charlottetown	Charlottetown	validated	validés	Lucas		Robert	People's Party - PPC	Parti populaire - PPC	131	.6	214	21303
11003	Egmont	Egmont	preliminary	préliminaires	MacFarlane		Ranald	Green Party	Parti Vert	538	2.2	0	24008
11003	Egmont	Egmont	preliminary	préliminaires	McLellan		Logan	Conservative	Conservateur	10419	43.4	0	24008
11003	Egmont	Egmont	preliminary	préliminaires	Morrissey		Bobby	Liberal	Libéral	12466	51.9	0	24008
11003	Egmont	Egmont	preliminary	préliminaires	Rybinski		Carol	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	585	2.4	0	24008
11003	Egmont	Egmont	validated	validés	MacFarlane		Ranald	Green Party	Parti Vert	538	2.2	241	24249
11003	Egmont	Egmont	validated	validés	McLellan		Logan	Conservative	Conservateur	10419	43.4	241	24249
11003	Egmont	Egmont	validated	validés	Morrissey		Bobby	Liberal	Libéral	12466	51.9	241	24249
11003	Egmont	Egmont	validated	validés	Rybinski		Carol	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	585	2.4	241	24249
11004	Malpeque	Malpeque	preliminary	préliminaires	Baughan		Hilda	People's Party - PPC	Parti populaire - PPC	132	.5	0	26883
11004	Malpeque	Malpeque	preliminary	préliminaires	Fox		Jamie	Conservative	Conservateur	9846	36.6	0	26883
11004	Malpeque	Malpeque	preliminary	préliminaires	Keenan		Anna	Green Party	Parti Vert	1049	3.9	0	26883
11004	Malpeque	Malpeque	preliminary	préliminaires	MacDonald		Heath	Liberal	Libéral	15415	57.3	0	26883
11004	Malpeque	Malpeque	preliminary	préliminaires	Mackay		Cassie	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	441	1.6	0	26883
11004	Malpeque	Malpeque	validated	validés	Baughan		Hilda	People's Party - PPC	Parti populaire - PPC	132	.5	216	27099
11004	Malpeque	Malpeque	validated	validés	Fox		Jamie	Conservative	Conservateur	9846	36.6	216	27099
11004	Malpeque	Malpeque	validated	validés	Keenan		Anna	Green Party	Parti Vert	1049	3.9	216	27099
11004	Malpeque	Malpeque	validated	validés	MacDonald		Heath	Liberal	Libéral	15485	57.6	216	27099
