These results were downloaded and refreshed on June      25, 2025 at 0:00 a.m. ET. / Ces résultats ont été téléchargés et rafraichis le 25 juin 2025 à 0h HE.													
Electoral district number - Numéro de la circonscription	Electoral district name	Nom de la circonscription	Type of results*	Type de résultats**	Surname - Nom de famille	Middle name(s) - Autre(s) prénom(s)	Given name - Prénom	Political affiliation	Appartenance politique	Votes obtained - Votes obtenus	% Votes obtained - Votes obtenus %	Rejected ballots - Bulletins rejetés***	Total number of ballots cast - Nombre total de votes déposés
24029	Joliette--Manawan	Joliette--Manawan	validated	validés	Poirier		Érica	Green Party	Parti Vert	1014	1.8	1087	58316
24029	Joliette--Manawan	Joliette--Manawan	validated	validés	Ste-Marie		Gabriel	Bloc Québécois	Bloc Québécois	28196	49.3	1087	58316
24030	Jonquière	Jonquière	preliminary	préliminaires	Boulanger		Fanny	Conservative	Conservateur	15319	30.2	0	50685
24030	Jonquière	Jonquière	preliminary	préliminaires	Garon		Lise	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	931	1.8	0	50685
24030	Jonquière	Jonquière	preliminary	préliminaires	Gaudreault		Patrick	People's Party - PPC	Parti populaire - PPC	514	1	0	50685
24030	Jonquière	Jonquière	preliminary	préliminaires	Simard		Mario	Bloc Québécois	Bloc Québécois	20262	40	0	50685
24030	Jonquière	Jonquière	preliminary	préliminaires	Van Tassel		William	Liberal	Libéral	13209	26.1	0	50685
24030	Jonquière	Jonquière	preliminary	préliminaires	Yelle		Marie-Josée	Green Party	Parti Vert	450	.9	0	50685
24030	Jonquière	Jonquière	validated	validés	Boulanger		Fanny	Conservative	Conservateur	15314	30.2	817	51446
24030	Jonquière	Jonquière	validated	validés	Garon		Lise	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	932	1.8	817	51446
24030	Jonquière	Jonquière	validated	validés	Gaudreault		Patrick	People's Party - PPC	Parti populaire - PPC	516	1	817	51446
24030	Jonquière	Jonquière	validated	validés	Simard		Mario	Bloc Québécois	Bloc Québécois	20247	40	817	51446
24030	Jonquière	Jonquière	validated	validés	Van Tassel		William	Liberal	Libéral	13172	26	817	51446
24030	Jonquière	Jonquière	validated	validés	Yelle		Marie-Josée	Green Party	Parti Vert	448	.9	817	51446
24031	La Pointe-de-l'Île	La Pointe-de-l'Île	preliminary	préliminaires	Beaulieu		Mario	Bloc Québécois	Bloc Québécois	22678	43	0	52694
24031	La Pointe-de-l'Île	La Pointe-de-l'Île	preliminary	préliminaires	Chaabi		Ghada	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2262	4.3	0	52694
24031	La Pointe-de-l'Île	La Pointe-de-l'Île	preliminary	préliminaires	Huard		Olivier	Green Party	Parti Vert	974	1.8	0	52694
24031	La Pointe-de-l'Île	La Pointe-de-l'Île	preliminary	préliminaires	Minko		Viviane	Liberal	Libéral	19803	37.6	0	52694
24031	La Pointe-de-l'Île	La Pointe-de-l'Île	preliminary	préliminaires	Potapova		Violetta	Conservative	Conservateur	6796	12.9	0	52694
24031	La Pointe-de-l'Île	La Pointe-de-l'Île	preliminary	préliminaires	Royer		Geneviève	Marxist-Leninist	Marxiste-Léniniste	181	.3	0	52694
24031	La Pointe-de-l'Île	La Pointe-de-l'Île	validated	validés	Beaulieu		Mario	Bloc Québécois	Bloc Québécois	22940	43.1	987	54196
24031	La Pointe-de-l'Île	La Pointe-de-l'Île	validated	validés	Chaabi		Ghada	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2279	4.3	987	54196
24031	La Pointe-de-l'Île	La Pointe-de-l'Île	validated	validés	Huard		Olivier	Green Party	Parti Vert	977	1.8	987	54196
24031	La Pointe-de-l'Île	La Pointe-de-l'Île	validated	validés	Minko		Viviane	Liberal	Libéral	20051	37.7	987	54196
24031	La Pointe-de-l'Île	La Pointe-de-l'Île	validated	validés	Potapova		Violetta	Conservative	Conservateur	6781	12.7	987	54196
24031	La Pointe-de-l'Île	La Pointe-de-l'Île	validated	validés	Royer		Geneviève	Marxist-Leninist	Marxiste-Léniniste	181	.3	987	54196
24032	La Prairie--Atateken	La Prairie--Atateken	preliminary	préliminaires	Boisvert		Mathieu	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1578	2.4	0	66771
24032	La Prairie--Atateken	La Prairie--Atateken	preliminary	préliminaires	Fontaine		Ruth	People's Party - PPC	Parti populaire - PPC	367	.5	0	66771
24032	La Prairie--Atateken	La Prairie--Atateken	preliminary	préliminaires	Joannette		Barbara	Green Party	Parti Vert	659	1	0	66771
24032	La Prairie--Atateken	La Prairie--Atateken	preliminary	préliminaires	Pouliot		Dave	Conservative	Conservateur	11508	17.2	0	66771
24032	La Prairie--Atateken	La Prairie--Atateken	preliminary	préliminaires	Ramsay		Jacques	Liberal	Libéral	29439	44.1	0	66771
24032	La Prairie--Atateken	La Prairie--Atateken	preliminary	préliminaires	Therrien		Alain	Bloc Québécois	Bloc Québécois	23220	34.8	0	66771
24032	La Prairie--Atateken	La Prairie--Atateken	validated	validés	Boisvert		Mathieu	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1588	2.4	787	67548
24032	La Prairie--Atateken	La Prairie--Atateken	validated	validés	Fontaine		Ruth	People's Party - PPC	Parti populaire - PPC	361	.5	787	67548
24032	La Prairie--Atateken	La Prairie--Atateken	validated	validés	Joannette		Barbara	Green Party	Parti Vert	657	1	787	67548
24032	La Prairie--Atateken	La Prairie--Atateken	validated	validés	Pouliot		Dave	Conservative	Conservateur	11505	17.2	787	67548
24032	La Prairie--Atateken	La Prairie--Atateken	validated	validés	Ramsay		Jacques	Liberal	Libéral	29418	44.1	787	67548
24032	La Prairie--Atateken	La Prairie--Atateken	validated	validés	Therrien		Alain	Bloc Québécois	Bloc Québécois	23232	34.8	787	67548
24033	Lac-Saint-Jean	Lac-Saint-Jean	preliminary	préliminaires	Blackburn		Dave	Conservative	Conservateur	11787	24.7	0	47751
24033	Lac-Saint-Jean	Lac-Saint-Jean	preliminary	préliminaires	Boily-Maltais		Hugues	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	819	1.7	0	47751
24033	Lac-Saint-Jean	Lac-Saint-Jean	preliminary	préliminaires	Bouchard		Lorie	People's Party - PPC	Parti populaire - PPC	539	1.1	0	47751
24033	Lac-Saint-Jean	Lac-Saint-Jean	preliminary	préliminaires	Brunelle-Duceppe		Alexis	Bloc Québécois	Bloc Québécois	22069	46.2	0	47751
24033	Lac-Saint-Jean	Lac-Saint-Jean	preliminary	préliminaires	Lemieux		Denis	Liberal	Libéral	12537	26.3	0	47751
24033	Lac-Saint-Jean	Lac-Saint-Jean	validated	validés	Blackburn		Dave	Conservative	Conservateur	11792	24.7	689	48445
24033	Lac-Saint-Jean	Lac-Saint-Jean	validated	validés	Boily-Maltais		Hugues	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	819	1.7	689	48445
24033	Lac-Saint-Jean	Lac-Saint-Jean	validated	validés	Bouchard		Lorie	People's Party - PPC	Parti populaire - PPC	540	1.1	689	48445
24033	Lac-Saint-Jean	Lac-Saint-Jean	validated	validés	Brunelle-Duceppe		Alexis	Bloc Québécois	Bloc Québécois	22069	46.2	689	48445
24033	Lac-Saint-Jean	Lac-Saint-Jean	validated	validés	Lemieux		Denis	Liberal	Libéral	12536	26.3	689	48445
24034	Lac-Saint-Louis	Lac-Saint-Louis	preliminary	préliminaires	Dufort		Mathieu	People's Party - PPC	Parti populaire - PPC	466	.7	0	63287
24034	Lac-Saint-Louis	Lac-Saint-Louis	preliminary	préliminaires	Evdokias		Gregory	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1865	2.9	0	63287
24034	Lac-Saint-Louis	Lac-Saint-Louis	preliminary	préliminaires	Fournier		Tommy	Bloc Québécois	Bloc Québécois	2300	3.6	0	63287
24034	Lac-Saint-Louis	Lac-Saint-Louis	preliminary	préliminaires	Frizzell		Raymond	Green Party	Parti Vert	910	1.4	0	63287
24034	Lac-Saint-Louis	Lac-Saint-Louis	preliminary	préliminaires	Rusniak		Matthew	Conservative	Conservateur	15001	23.7	0	63287
24034	Lac-Saint-Louis	Lac-Saint-Louis	preliminary	préliminaires	Scarpaleggia		Francis	Liberal	Libéral	42745	67.5	0	63287
24034	Lac-Saint-Louis	Lac-Saint-Louis	validated	validés	Dufort		Mathieu	People's Party - PPC	Parti populaire - PPC	471	.7	437	64679
24034	Lac-Saint-Louis	Lac-Saint-Louis	validated	validés	Evdokias		Gregory	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1877	2.9	437	64679
24034	Lac-Saint-Louis	Lac-Saint-Louis	validated	validés	Fournier		Tommy	Bloc Québécois	Bloc Québécois	2330	3.6	437	64679
24034	Lac-Saint-Louis	Lac-Saint-Louis	validated	validés	Frizzell		Raymond	Green Party	Parti Vert	915	1.4	437	64679
24034	Lac-Saint-Louis	Lac-Saint-Louis	validated	validés	Rusniak		Matthew	Conservative	Conservateur	15203	23.7	437	64679
24034	Lac-Saint-Louis	Lac-Saint-Louis	validated	validés	Scarpaleggia		Francis	Liberal	Libéral	43446	67.6	437	64679
24035	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	Ansari		Bisma	Green Party	Parti Vert	1290	2.4	0	53538
24035	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	Chouinard		Normand	Marxist-Leninist	Marxiste-Léniniste	81	.2	0	53538
24035	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	Dénommé		Frédéric	Parti Rhinocéros Party	Parti Rhinocéros Party	198	.4	0	53538
24035	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	Fischer		Zsolt	Conservative	Conservateur	7388	13.8	0	53538
24035	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	Guay		Claude	Liberal	Libéral	27144	50.7	0	53538
24035	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	Hu		Fang	Centrist	Centriste	60	.1	0	53538
24035	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	Johnson		Manuel	Communist	Communiste	135	.3	0	53538
24035	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	Sauvé		Craig	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	5568	10.4	0	53538
24035	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	Sauvé		Louis-Philippe	Bloc Québécois	Bloc Québécois	11389	21.3	0	53538
24035	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	Yablunovsky		Gregory	People's Party - PPC	Parti populaire - PPC	285	.5	0	53538
24035	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	validated	validés	Ansari		Bisma	Green Party	Parti Vert	1298	2.4	662	54615
24035	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	validated	validés	Chouinard		Normand	Marxist-Leninist	Marxiste-Léniniste	81	.2	662	54615
24035	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	validated	validés	Dénommé		Frédéric	Parti Rhinocéros Party	Parti Rhinocéros Party	169	.3	662	54615
24035	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	validated	validés	Fischer		Zsolt	Conservative	Conservateur	7456	13.8	662	54615
24035	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	validated	validés	Guay		Claude	Liberal	Libéral	27439	50.9	662	54615
24035	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	validated	validés	Hu		Fang	Centrist	Centriste	60	.1	662	54615
24035	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	validated	validés	Johnson		Manuel	Communist	Communiste	136	.3	662	54615
24035	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	validated	validés	Sauvé		Craig	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	5587	10.4	662	54615
24035	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	validated	validés	Sauvé		Louis-Philippe	Bloc Québécois	Bloc Québécois	11467	21.3	662	54615
24035	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	validated	validés	Yablunovsky		Gregory	People's Party - PPC	Parti populaire - PPC	260	.5	662	54615
24036	Laurentides--Labelle	Laurentides--Labelle	preliminary	préliminaires	Charbonneau		Amélie	People's Party - PPC	Parti populaire - PPC	755	1.4	0	53374
24036	Laurentides--Labelle	Laurentides--Labelle	preliminary	préliminaires	Gaudreau		Marie-Hélène	Bloc Québécois	Bloc Québécois	23859	44.7	0	53374
24036	Laurentides--Labelle	Laurentides--Labelle	preliminary	préliminaires	Le Comte		Michel	Green Party	Parti Vert	870	1.6	0	53374
24036	Laurentides--Labelle	Laurentides--Labelle	preliminary	préliminaires	Noël De Tilly		Michel	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1346	2.5	0	53374
24036	Laurentides--Labelle	Laurentides--Labelle	preliminary	préliminaires	Paquette		Daniel	Conservative	Conservateur	7959	14.9	0	53374
24036	Laurentides--Labelle	Laurentides--Labelle	preliminary	préliminaires	Vienneau		Emrick	Liberal	Libéral	18585	34.8	0	53374
24036	Laurentides--Labelle	Laurentides--Labelle	validated	validés	Charbonneau		Amélie	People's Party - PPC	Parti populaire - PPC	749	1.4	896	53879
24036	Laurentides--Labelle	Laurentides--Labelle	validated	validés	Gaudreau		Marie-Hélène	Bloc Québécois	Bloc Québécois	23615	44.6	896	53879
24036	Laurentides--Labelle	Laurentides--Labelle	validated	validés	Le Comte		Michel	Green Party	Parti Vert	864	1.6	896	53879
24036	Laurentides--Labelle	Laurentides--Labelle	validated	validés	Noël De Tilly		Michel	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1341	2.5	896	53879
24036	Laurentides--Labelle	Laurentides--Labelle	validated	validés	Paquette		Daniel	Conservative	Conservateur	7900	14.9	896	53879
24036	Laurentides--Labelle	Laurentides--Labelle	validated	validés	Vienneau		Emrick	Liberal	Libéral	18514	34.9	896	53879
24037	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Duplessis		Eugène	People's Party - PPC	Parti populaire - PPC	246	.5	0	51974
24037	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Fournier		Mathieu	Conservative	Conservateur	4743	9.1	0	51974
24037	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Guilbeault		Steven	Liberal	Libéral	27013	52	0	51974
24037	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Labelle		Michel	Marxist-Leninist	Marxiste-Léniniste	276	.5	0	51974
24037	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Lapierre		Emmanuel	Bloc Québécois	Bloc Québécois	8026	15.4	0	51974
24037	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Lauzon		Simon-Pierre	Independent	Indépendant(e)	59	.1	0	51974
24037	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Machouf		Nimâ	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	9805	18.9	0	51974
24037	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Mourkes		Dimitri	Independent	Indépendant(e)	38	.1	0	51974
24037	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Perceval-Maxwell		Dylan	Green Party	Parti Vert	1453	2.8	0	51974
24037	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Poulin		Chantal	Parti Rhinocéros Party	Parti Rhinocéros Party	198	.4	0	51974
24037	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Welsh		Adrien	Communist	Communiste	117	.2	0	51974
24037	Laurier--Sainte-Marie	Laurier--Sainte-Marie	validated	validés	Duplessis		Eugène	People's Party - PPC	Parti populaire - PPC	253	.5	602	53003
24037	Laurier--Sainte-Marie	Laurier--Sainte-Marie	validated	validés	Fournier		Mathieu	Conservative	Conservateur	4796	9.2	602	53003
24037	Laurier--Sainte-Marie	Laurier--Sainte-Marie	validated	validés	Guilbeault		Steven	Liberal	Libéral	27286	52.1	602	53003
24037	Laurier--Sainte-Marie	Laurier--Sainte-Marie	validated	validés	Labelle		Michel	Marxist-Leninist	Marxiste-Léniniste	269	.5	602	53003
24037	Laurier--Sainte-Marie	Laurier--Sainte-Marie	validated	validés	Lapierre		Emmanuel	Bloc Québécois	Bloc Québécois	8079	15.4	602	53003
24037	Laurier--Sainte-Marie	Laurier--Sainte-Marie	validated	validés	Lauzon		Simon-Pierre	Independent	Indépendant(e)	62	.1	602	53003
24037	Laurier--Sainte-Marie	Laurier--Sainte-Marie	validated	validés	Machouf		Nimâ	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	9856	18.8	602	53003
24037	Laurier--Sainte-Marie	Laurier--Sainte-Marie	validated	validés	Mourkes		Dimitri	Independent	Indépendant(e)	38	.1	602	53003
24037	Laurier--Sainte-Marie	Laurier--Sainte-Marie	validated	validés	Perceval-Maxwell		Dylan	Green Party	Parti Vert	1452	2.8	602	53003
24037	Laurier--Sainte-Marie	Laurier--Sainte-Marie	validated	validés	Poulin		Chantal	Parti Rhinocéros Party	Parti Rhinocéros Party	195	.4	602	53003
24037	Laurier--Sainte-Marie	Laurier--Sainte-Marie	validated	validés	Welsh		Adrien	Communist	Communiste	115	.2	602	53003
24038	Laval--Les Îles	Laval--Les Îles	preliminary	préliminaires	Dansereau-Redhead		Catherine	Bloc Québécois	Bloc Québécois	8318	14.6	0	56935
24038	Laval--Les Îles	Laval--Les Îles	preliminary	préliminaires	El-Khoury		Fayçal	Liberal	Libéral	28303	49.7	0	56935
24038	Laval--Les Îles	Laval--Les Îles	preliminary	préliminaires	Loiselle-Schiettekatte		Étienne	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1963	3.4	0	56935
24038	Laval--Les Îles	Laval--Les Îles	preliminary	préliminaires	Merakos		Konstantinos	Conservative	Conservateur	18351	32.2	0	56935
24038	Laval--Les Îles	Laval--Les Îles	validated	validés	Dansereau-Redhead		Catherine	Bloc Québécois	Bloc Québécois	8298	14.6	758	57674
24038	Laval--Les Îles	Laval--Les Îles	validated	validés	El-Khoury		Fayçal	Liberal	Libéral	28302	49.7	758	57674
24038	Laval--Les Îles	Laval--Les Îles	validated	validés	Loiselle-Schiettekatte		Étienne	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1961	3.4	758	57674
24038	Laval--Les Îles	Laval--Les Îles	validated	validés	Merakos		Konstantinos	Conservative	Conservateur	18355	32.2	758	57674
24039	Les Pays-d'en-Haut	Les Pays-d'en-Haut	preliminary	préliminaires	Baland		Eric-Abel	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1498	2.3	0	65626
24039	Les Pays-d'en-Haut	Les Pays-d'en-Haut	preliminary	préliminaires	Charbonneau		Ariane	Bloc Québécois	Bloc Québécois	23713	36.1	0	65626
24039	Les Pays-d'en-Haut	Les Pays-d'en-Haut	preliminary	préliminaires	Leroux		Vincent	Conservative	Conservateur	11844	18	0	65626
24039	Les Pays-d'en-Haut	Les Pays-d'en-Haut	preliminary	préliminaires	Mogiljansky		George	People's Party - PPC	Parti populaire - PPC	658	1	0	65626
24039	Les Pays-d'en-Haut	Les Pays-d'en-Haut	preliminary	préliminaires	Steinberger		Karine	Green Party	Parti Vert	1040	1.6	0	65626
24039	Les Pays-d'en-Haut	Les Pays-d'en-Haut	preliminary	préliminaires	Watchorn		Tim	Liberal	Libéral	26873	40.9	0	65626
24039	Les Pays-d'en-Haut	Les Pays-d'en-Haut	validated	validés	Baland		Eric-Abel	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1493	2.3	848	66551
24039	Les Pays-d'en-Haut	Les Pays-d'en-Haut	validated	validés	Charbonneau		Ariane	Bloc Québécois	Bloc Québécois	23750	36.1	848	66551
24039	Les Pays-d'en-Haut	Les Pays-d'en-Haut	validated	validés	Leroux		Vincent	Conservative	Conservateur	11816	18	848	66551
24039	Les Pays-d'en-Haut	Les Pays-d'en-Haut	validated	validés	Mogiljansky		George	People's Party - PPC	Parti populaire - PPC	639	1	848	66551
24039	Les Pays-d'en-Haut	Les Pays-d'en-Haut	validated	validés	Steinberger		Karine	Green Party	Parti Vert	1038	1.6	848	66551
24039	Les Pays-d'en-Haut	Les Pays-d'en-Haut	validated	validés	Watchorn		Tim	Liberal	Libéral	26967	41	848	66551
24040	Lévis--Lotbinière	Lévis--Lotbinière	preliminary	préliminaires	Cornish		Molly	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1612	2.3	0	68774
24040	Lévis--Lotbinière	Lévis--Lotbinière	preliminary	préliminaires	Daigle		Ghislain	Liberal	Libéral	20093	29.2	0	68774
24040	Lévis--Lotbinière	Lévis--Lotbinière	preliminary	préliminaires	Gourde		Jacques	Conservative	Conservateur	32959	47.9	0	68774
24040	Lévis--Lotbinière	Lévis--Lotbinière	preliminary	préliminaires	Julien		Pierre	Bloc Québécois	Bloc Québécois	13421	19.5	0	68774
24040	Lévis--Lotbinière	Lévis--Lotbinière	preliminary	préliminaires	Roy		Pier-Olivier	People's Party - PPC	Parti populaire - PPC	689	1	0	68774
24040	Lévis--Lotbinière	Lévis--Lotbinière	validated	validés	Cornish		Molly	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1635	2.3	906	70727
24040	Lévis--Lotbinière	Lévis--Lotbinière	validated	validés	Daigle		Ghislain	Liberal	Libéral	20549	29.4	906	70727
24040	Lévis--Lotbinière	Lévis--Lotbinière	validated	validés	Gourde		Jacques	Conservative	Conservateur	33312	47.7	906	70727
24040	Lévis--Lotbinière	Lévis--Lotbinière	validated	validés	Julien		Pierre	Bloc Québécois	Bloc Québécois	13627	19.5	906	70727
24040	Lévis--Lotbinière	Lévis--Lotbinière	validated	validés	Roy		Pier-Olivier	People's Party - PPC	Parti populaire - PPC	698	1	906	70727
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	preliminary	préliminaires	Gagnon		Donald	Parti Rhinocéros Party	Parti Rhinocéros Party	389	.8	0	51135
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	preliminary	préliminaires	Gravel		Marie-Andrée	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2849	5.6	0	51135
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	preliminary	préliminaires	Oerde		Beritan	Bloc Québécois	Bloc Québécois	13566	26.5	0	51135
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	preliminary	préliminaires	Olinga		Tiny	People's Party - PPC	Parti populaire - PPC	436	.9	0	51135
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	preliminary	préliminaires	Roberts		Terry	Conservative	Conservateur	8777	17.2	0	51135
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	preliminary	préliminaires	Romanado		Sherry	Liberal	Libéral	25118	49.1	0	51135
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	validated	validés	Gagnon		Donald	Parti Rhinocéros Party	Parti Rhinocéros Party	389	.8	1031	51931
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	validated	validés	Gravel		Marie-Andrée	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2832	5.6	1031	51931
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	validated	validés	Oerde		Beritan	Bloc Québécois	Bloc Québécois	13583	26.7	1031	51931
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	validated	validés	Olinga		Tiny	People's Party - PPC	Parti populaire - PPC	411	.8	1031	51931
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	validated	validés	Roberts		Terry	Conservative	Conservateur	8547	16.8	1031	51931
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	validated	validés	Romanado		Sherry	Liberal	Libéral	25138	49.4	1031	51931
24042	Longueuil--Saint-Hubert	Longueuil--Saint-Hubert	preliminary	préliminaires	Benhadj		Nesrine	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	3029	5.1	0	59138
24042	Longueuil--Saint-Hubert	Longueuil--Saint-Hubert	preliminary	préliminaires	Boucher		Martine	Conservative	Conservateur	8480	14.3	0	59138
24042	Longueuil--Saint-Hubert	Longueuil--Saint-Hubert	preliminary	préliminaires	Joseph		Natilien	Liberal	Libéral	24189	40.9	0	59138
24042	Longueuil--Saint-Hubert	Longueuil--Saint-Hubert	preliminary	préliminaires	Trudel		Denis	Bloc Québécois	Bloc Québécois	23440	39.6	0	59138
24042	Longueuil--Saint-Hubert	Longueuil--Saint-Hubert	validated	validés	Benhadj		Nesrine	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2986	5	1172	60310
24042	Longueuil--Saint-Hubert	Longueuil--Saint-Hubert	validated	validés	Boucher		Martine	Conservative	Conservateur	8447	14.3	1172	60310
24042	Longueuil--Saint-Hubert	Longueuil--Saint-Hubert	validated	validés	Joseph		Natilien	Liberal	Libéral	24237	41	1172	60310
24042	Longueuil--Saint-Hubert	Longueuil--Saint-Hubert	validated	validés	Trudel		Denis	Bloc Québécois	Bloc Québécois	23468	39.7	1172	60310
24043	Louis-Hébert	Louis-Hébert	preliminary	préliminaires	Dussault		Claude	Conservative	Conservateur	12225	20.2	0	60578
24043	Louis-Hébert	Louis-Hébert	preliminary	préliminaires	Lightbound		Joël	Liberal	Libéral	33547	55.4	0	60578
24043	Louis-Hébert	Louis-Hébert	preliminary	préliminaires	Lussiaà-Berdou		Jean-Paul	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1540	2.5	0	60578
24043	Louis-Hébert	Louis-Hébert	preliminary	préliminaires	Maholy		Vatthana	People's Party - PPC	Parti populaire - PPC	335	.6	0	60578
24043	Louis-Hébert	Louis-Hébert	preliminary	préliminaires	Savard		Valérie	Bloc Québécois	Bloc Québécois	12931	21.3	0	60578
24043	Louis-Hébert	Louis-Hébert	validated	validés	Dussault		Claude	Conservative	Conservateur	12164	20.1	729	61174
24043	Louis-Hébert	Louis-Hébert	validated	validés	Lightbound		Joël	Liberal	Libéral	33512	55.4	729	61174
24043	Louis-Hébert	Louis-Hébert	validated	validés	Lussiaà-Berdou		Jean-Paul	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1540	2.5	729	61174
24043	Louis-Hébert	Louis-Hébert	validated	validés	Maholy		Vatthana	People's Party - PPC	Parti populaire - PPC	332	.5	729	61174
24043	Louis-Hébert	Louis-Hébert	validated	validés	Savard		Valérie	Bloc Québécois	Bloc Québécois	12897	21.3	729	61174
24044	Louis-Saint-Laurent--Akiawenhrahk	Louis-Saint-Laurent--Akiawenhrahk	preliminary	préliminaires	Deltell		Gérard	Conservative	Conservateur	29521	44.9	0	65811
24044	Louis-Saint-Laurent--Akiawenhrahk	Louis-Saint-Laurent--Akiawenhrahk	preliminary	préliminaires	Ducharme		Colette	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1607	2.4	0	65811
24044	Louis-Saint-Laurent--Akiawenhrahk	Louis-Saint-Laurent--Akiawenhrahk	preliminary	préliminaires	Leclerc		Anthony	People's Party - PPC	Parti populaire - PPC	527	.8	0	65811
24044	Louis-Saint-Laurent--Akiawenhrahk	Louis-Saint-Laurent--Akiawenhrahk	preliminary	préliminaires	Pierre		Rhode-Malaure	Liberal	Libéral	21693	33	0	65811
24044	Louis-Saint-Laurent--Akiawenhrahk	Louis-Saint-Laurent--Akiawenhrahk	preliminary	préliminaires	Trudel		Martin	Bloc Québécois	Bloc Québécois	12463	18.9	0	65811
