Constituency,Province / Territory,Honorific Title,First Name,Last Name,Political Affiliation
Edmonton Gateway,Alberta,Hon.,Tim,Uppal,Conservative
Edmonton Griesbach,Alberta,,Kerry,Diotte,Conservative
Edmonton Manning,Alberta,,Ziad,Aboultaif,Conservative
Edmonton Northwest,Alberta,,Billy,Morin,Conservative
Edmonton Riverbend,Alberta,,Matt,Jeneroux,Conservative
Edmonton Southeast,Alberta,,Jagsharan Singh,Mahal,Conservative
Edmonton Strathcona,Alberta,,Heather,McPherson,NDP
Edmonton West,Alberta,,Kelly,McCauley,Conservative
Eglinton—Lawrence,Ontario,,Vince,Gasparro,Liberal
Egmont,Prince Edward Island,,Robert,Morrissey,Liberal
Elgin—St. Thomas—London South,Ontario,,Andrew,Lawton,Conservative
Elmwood—Transcona,Manitoba,,Colin,Reynolds,Conservative
Esquimalt—Saanich—Sooke,British Columbia,Hon.,Stephanie,McLean,Liberal
Essex,Ontario,,Chris,Lewis,Conservative
Etobicoke Centre,Ontario,,Yvan,Baker,Liberal
Etobicoke North,Ontario,Hon.,John,Zerucelli,Liberal
Etobicoke—Lakeshore,Ontario,,James,Maloney,Liberal
Flamborough—Glanbrook—Brant North,Ontario,,Dan,Muys,Conservative
Fleetwood—Port Kells,British Columbia,,Gurbux,Saini,Liberal
Foothills,Alberta,,John,Barlow,Conservative
Fort McMurray—Cold Lake,Alberta,,Laila,Goodridge,Conservative
Fredericton—Oromocto,New Brunswick,,David,Myles,Liberal
Fundy Royal,New Brunswick,Hon.,Rob,Moore,Conservative
Gaspésie—Les Îles-de-la-Madeleine—Listuguj,Quebec,,Alexis,Deschênes,Bloc Québécois
Gatineau,Quebec,Hon.,Steven,MacKinnon,Liberal
Grande Prairie,Alberta,,Chris,Warkentin,Conservative
Guelph,Ontario,,Dominique,O'Rourke,Liberal
Haldimand—Norfolk,Ontario,,Leslyn,Lewis,Conservative
Haliburton—Kawartha Lakes,Ontario,,Jamie,Schmale,Conservative
Halifax,Nova Scotia,,Shannon,Miedema,Liberal
Halifax West,Nova Scotia,Hon.,Lena Metlege,Diab,Liberal
Hamilton Centre,Ontario,,Aslam,Rana,Liberal
Hamilton East—Stoney Creek,Ontario,,Ned,Kuruc,Conservative
Hamilton Mountain,Ontario,,Lisa,Hepfner,Liberal
Hamilton West—Ancaster—Dundas,Ontario,,John-Paul,Danko,Liberal
Hastings—Lennox and Addington—Tyendinaga,Ontario,,Shelby,Kramp-Neuman,Conservative
Hochelaga—Rosemont-Est,Quebec,,Marie-Gabrielle,Ménard,Liberal
Honoré-Mercier,Quebec,,Eric,St-Pierre,Liberal
Hull—Aylmer,Quebec,Hon.,Greg,Fergus,Liberal
Humber River—Black Creek,Ontario,Hon.,Judy A.,Sgro,Liberal
Huron—Bruce,Ontario,,Ben,Lobb,Conservative
Joliette—Manawan,Quebec,,Gabriel,Ste-Marie,Bloc Québécois
Jonquière,Quebec,,Mario,Simard,Bloc Québécois
Kamloops—Shuswap—Central Rockies,British Columbia,,Mel,Arnold,Conservative
Kamloops—Thompson—Nicola,British Columbia,,Frank,Caputo,Conservative
Kanata,Ontario,Hon.,Jenna,Sudds,Liberal
Kapuskasing—Timmins—Mushkegowuk,Ontario,,Gaétan,Malette,Conservative
Kelowna,British Columbia,Hon.,Stephen,Fuhr,Liberal
Kenora—Kiiwetinoong,Ontario,,Eric,Melillo,Conservative
Kildonan—St. Paul,Manitoba,,Raquel,Dancho,Conservative
King—Vaughan,Ontario,,Anna,Roberts,Conservative
Kings—Hants,Nova Scotia,Hon.,Kody,Blois,Liberal
Kingston and the Islands,Ontario,Hon.,Mark,Gerretsen,Liberal
Kitchener Centre,Ontario,,Kelly,DeRidder,Conservative
